Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
2473,Want a video on atul's case,6,llama3:70b,Views on Similar Cases in the Past,"""We need to make a video about Atul's case."""
822,Indian judiciary system is lol,0,llama3:70b,Judicial Accountability and Policy Demands,"""The Indian judiciary system is a joke."""
2498,justice for neet aspirants,5,llama3:70b,Irrelevant/General Comments,"""Justice for NEET aspirants"""
3024,"People will forgot this soon, as they forgot about Salman khan accident case.
Driver will take the blame and everything is set",6,llama3:70b,Views on Similar Cases in the Past,"""People will soon forget this, just like they did about the Salman Khan hit-and-run case. The driver will take the fall, and everything will be swept under the rug."""
334,People keep honking from behind because I stay put at stop signals.,1,llama3:70b,Public Safety,People keep honking behind me because I don't move from stop signals.
1954,"So why guju criminals r left out
Akash amabi and thatya patel",6,llama3:70b,Views on Similar Cases in the Past,"""What's wrong with the Gujarat government that it's letting out Gujarati criminals like Akash Amabi and Thatya Patel?"""
2163,"Corrupt judiciary, police and administration. Laws  only for poor people",2,llama3:70b,Socioeconomic Privilege,"""Corrupt judiciary, police, and administration. Laws are only made for the poor people."""
1063,So he is not being punished for underage driving? If 17 y/o is old and mature enough to drive a frigging Porsche then they are mature enough to be punished with 18+ age laws. This is why govt should reduce major minor age law division to 14. Every teen these days knows what they are doing,0,llama3:70b,Judicial Accountability and Policy Demands,"""So he is not being punished for underage driving? If a 17-year-old is old and mature enough to drive a bloody Porsche, then they are mature enough to be punished under 18+ age laws. This is why the government should reduce the major-minor age law division to 14. Every teenager these days knows what they're doing 😐"""
2556,"SKshould also be tried again, uski Gotti tight hojaayegi :face_with_tears_of_joy:",4,llama3:70b,Anger or Outrage,"""SK's case should also be reopened, her Gotti (gut) will be tightened :face_with_tears_of_joy:"""
2553,"Bhai it reminds me of the  hit and run of Kolkata, in which an Air force officer died.
But the accused is still running his cars in the same fashion 
Still no one cares",6,llama3:70b,Views on Similar Cases in the Past,"""Brother, this reminds me of the hit-and-run case in Kolkata where an Air Force officer lost his life. But the accused is still driving his cars recklessly, in the same manner as before. And still, no one is bothered."""
1684,Anyone does know about ambani case,6,llama3:70b,Views on Similar Cases in the Past,"""Do people know about the Ambani case?"""
2505,it means that indo pak judicial system is the same. for exemple here in lahore a rich boy killed 6 persons by hitting car and nothing happend.,6,llama3:70b,Views on Similar Cases in the Past,"""It means that the judicial system in India and Pakistan is identical. For example, here in Lahore, a wealthy boy killed six people by running them over with his car, and nothing happened."""
1650,We want justice.....,3,llama3:70b,Victim Sympathy,"""We demand justice."""
2195,It is very sad to see how our justice system works. Do they need external pressure to work properly?  We need strict action against such people.,0,llama3:70b,Judicial Accountability and Policy Demands,"""It's very disheartening to see how our judiciary functions. Do they need foreign intervention to function effectively?  We require severe consequences for such individuals."""
1790,"After 1 year of investigation the result will be, ""The Boy was not driving the vehicle. It was his driver who ran away and the boy was caught by the public and the boy will be granted bail"".",1,llama3:70b,Public Safety,"""After 1 year of investigation, the outcome will be, 'The boy wasn't driving the vehicle; his driver was the one who fled, and the boy was apprehended by the public, and he'll be granted bail'."""
1235,"REFORM JUDICIARY SO THAT BUDDIES WHO HANGOUT DONT CORNER AND HIJACK THE SYSTEM. THE SAMEVUNCH OF LAWYERS ACTIVIST AND JUDGES HAVE BEEN GRINDING THE SAME SET OF ISSUES THAT DONT SERVE NATIONS INTEREST BUT SERVE VESTED INTERESTS.
A COMMON MAN SUFFERS DEPENDING ON DILAPIDATED JUSTICE SYSTEM AND LAWS. NO ONE FEARS LAW NOR RULE OF LAW",0,llama3:70b,Judicial Accountability and Policy Demands,"""Reform the judiciary so that friends who hang out together don't gang up and hijack the system. The same bunch of lawyers, activists, and judges have been grinding the same set of issues that don't serve the nation's interest but serve vested interests.
A common man suffers due to the dilapidated justice system and laws. No one fears the law or the rule of law :expressionless face"""
191,Their is something fishy. We have to dig it out.,4,llama3:70b,Anger or Outrage,"""There's definitely something suspicious going on, and we need to uncover the truth."""
1166,Bharat ki judiciary system kachra hai :face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:,0,llama3:70b,Judicial Accountability and Policy Demands,"""India's judiciary system is a trash :expressionless face: :expressionless face: :expressionless face:"""
3090,Is Desh mein do tarah ka Kanoon hai ek Amir ke liye ek Garib ke liye:crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""There are two kinds of laws in this country, one for the rich and one for the poor :expressionless face::expressionless face::expressionless face:"""
85,justice for :crying_face: engineer,3,llama3:70b,Victim Sympathy,"""Justice for the deceased engineer."""
336,"Dear Pune Police, please give the driver and his family, full protection.Poor guy shouldn't be made a victim. 

Aur is baap ko itni khuji hai ladke ko bachane ki toh khud blame le leta. Bkl",0,llama3:70b,Judicial Accountability and Policy Demands,"""Dear Pune Police, please provide full protection to the driver and his family. The poor guy shouldn't be made a victim. And this father is so desperate to save his son that he should take the blame himself :expressionless face"""
1150,The rich people thinks they have money so they can do anything :crying_face:,2,llama3:70b,Socioeconomic Privilege,"""The rich people think they have the money to get away with anything."""
2641,"You and Dhruv only point out negative points. In India with such population accidents are not a new thing. But think if judiciary would give such ridiculous judgment that both father and son would be life-sentenced of jail and seizing their all properties and giving lifetime compensation to those families. Then think how much loss this country had to bear: (i)The progress of vikshit bharat would face a pause due to the arrest of the builder as he is contributing so much to grow our gdp
(ii)Selling of luxury cars would be stopped which would eventually impact our economy and trading.
(iii)If a minor boy would get punishment, it would be an obvious insult of our constitution. 
(iv) Everyone who drives first time did accidents by default. But for this, other boys who has a dream to learn driving would certainly scared of driving. 
(v)On the other hand,  there are plenty of engineers in our country just like insects,who is a big headache for government due to job crisis. And certainly they were girlfriend boyfriend doing late-night out.
(v) Finally and most importantly, the boy was hindu.So, it was clearly a car accident for doing late-night party of those girlfriend boyfriend. If the boy turned out to be Muslim somehow it would certainly become a 'driving-jihad'.
So, please you guys focus on positive news. The Muslims are increasing population burden in our country. So, this Hindu kid  just helped to decrease it and also salute to pune police because they didn't publish the name of the innocent Hindu boy.But any crime where any Muslim involved somehow our 4th pillar of democracy immediately publish the name of the jihadi obeying their duty. :smiling_face_with_smiling_eyes:",3,llama3:70b,Victim Sympathy,"""You and Dhruv only point out negative points. In India with such a massive population, accidents are not a new thing. But imagine if the judiciary handed down such an absurd judgment: life imprisonment for both father and son, confiscation of all their properties, and lifetime compensation to the affected families. Then think about the losses our country would incur: (i) The progress of a developed India would stall due to the builder's arrest, as he contributes significantly to our GDP; (ii) The sale of luxury cars would grind to a halt, affecting our economy and trade; (iii) Punishing a minor boy would be a blatant insult to our constitution; (iv) Everyone who's ever driven has had an accident by default. But for this, other youngsters who want to learn driving would be terrified; (v) Meanwhile, there are plenty of engineers in our country who are a headache for the government due to the job crisis – and they're probably out late with their girlfriends; (v) Finally, and most importantly, the boy was Hindu, so it was obviously a car accident caused by those late-night partygoers. If the boy had been Muslim, it would've been a 'driving jihad' in no time. Focus on positive news, please. Muslims are increasingly becoming a population burden in our country. This Hindu kid just helped reduce it, and I salute the Pune police for not revealing the innocent boy's name. However, whenever a Muslim is involved in a crime, our 4th pillar of democracy immediately publishes the perpetrator's name, fulfilling its duty :smiling_face_with_smiling_eyes"""
2390,Kisi ko udane ka plan hai kya:face_with_tears_of_joy:,5,llama3:70b,Irrelevant/General Comments,"""Do they have a plan to fly people away ?:face_with_tears_of_joy:"""
1036,"if you choose to drink as an adult, better face the consequences as an adult as  well",0,llama3:70b,Judicial Accountability and Policy Demands,"""If you choose to drink as an adult, then you should face the consequences like an adult too."""
2116,Their family learned from Salman Khan incident,6,llama3:70b,Views on Similar Cases in the Past,Their family learned from the Salman Khan incident.
1651,"neet student justice
plz raise your voice
it is humble request
neet 2024 scam by nta and government",5,llama3:70b,Irrelevant/General Comments,"""Justice for the NEET students. Please raise your voices. It's a humble request. The NEET 2024 scam is a result of NTA and the government's actions."""
634,Please make a video on Tathya Patel case in Ahmedabad..,6,llama3:70b,Views on Similar Cases in the Past,"""Please make a video about the Tathya Patel case in Ahmedabad."""
874,"Same accident happened in Lahore, Pakistan.
Under 18 boy intentionally hit another car with his car. All family members died in victim car. The boy was released without punishment.",6,llama3:70b,Views on Similar Cases in the Past,"""Another similar accident occurred in Lahore, Pakistan. An 18-year-old boy deliberately crashed his car into another vehicle, resulting in the death of the entire family inside the victim's car. The boy was let off without facing any consequences."""
2705,Last year in Ahmedabad Gujarat we had Tathya patel high profile case,6,llama3:70b,Views on Similar Cases in the Past,"""In Ahmedabad, Gujarat, we had the high-profile Tathya Patel case last year."""
582,"Law, health & education can be easily enjoyed by rich. Middle class & others has to suffer",2,llama3:70b,Socioeconomic Privilege,"""Law, health, and education are privileges that only the wealthy can afford, while the middle class and others are left to suffer."""
1881,If he can drink and drive he can go to jail,4,llama3:70b,Anger or Outrage,"""If he can drive drunk, he should go to jail"""
2967,Aacha sir jab congess ki sarkaar thi tab bhi to aisa hi hota tha eg JUNGAL RAJ IN BIHAR tab kahan gaya tha aapka nyay. Every political party is a HIPOCRATE ..,5,llama3:70b,Irrelevant/General Comments,"""Even when Congress was in power, it was the same, look at Jungle Raj in Bihar back then, where was your justice? Every political party is a hypocrite..."""
2645,Another reason to leave India after i become financially dependent :),2,llama3:70b,Socioeconomic Privilege,"""After I become financially independent, another reason to leave India."""
2186,"In towns motorcycles, autos...in luxury cities cars...NO DIFFERENCE. Because no fear of punishment.",1,llama3:70b,Public Safety,"""In towns, motorcycles and autos are just as guilty, and in luxury cities, cars are no exception. It's all because there's no fear of punishment."""
173,"Our police system is to be supported by Judiciary.  Otherwise every loophole is utilised by police.  For rich anything can be done and everyone play to their tunes.  
Politicians are interested in votes and power.  Nothing else.",3,llama3:70b,Victim Sympathy,"""Our police system is supposed to be backed by the Judiciary.  If not, every loophole is exploited by the police.  The rich get away with anything, and everyone else dances to their tune.  Politicians are only interested in votes and power, nothing else."""
236,I stay in ghatkopar and i visited the hoarding accident scene and looking at the condition of that place it feels like more than 17 people have died for sure the place is still a reck and the cars crushed are still there.,1,llama3:70b,Public Safety,"""I reside in Ghatkopar and I visited the site of the hoarding accident; upon seeing the condition of that place, it's evident that more than 17 people have lost their lives. The area is still in a state of disarray, and the crushed cars are still there."""
502,Shameless govt.,4,llama3:70b,Anger or Outrage,"""This government is shameless."""
2633,Dhruv brother some chapri and godi youtubers are talking shit about you kuch aisa reply do ke 7 janam yaad rakhe:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,3,llama3:70b,Victim Sympathy,"""Bhai Dhruv, some chaprasi and godi YouTubers are spreading crap about you, just give them a fitting reply, remember 7 generations:expressionless face::expressionless face::expressionless face::expressionless face::expressionless face"""
371,Middle class has no civil rights‚Ä¶.we are here to pay taxes and follow rules‚Ä¶money he toh bail he..,2,llama3:70b,Socioeconomic Privilege,"""We have no civil rights. We're here to pay taxes and follow the rules, but the rich can just buy their way out of trouble."""
1765,Shame on the Judge,0,llama3:70b,Judicial Accountability and Policy Demands,Shame on the Judge
946,Justice for neet aspirants :crying_face:,2,llama3:70b,Socioeconomic Privilege,"""Justice for NEET aspirants."""
1826,It does not matter you earn 8 lpa or 80 lpa indian road won't forgive you,1,llama3:70b,Public Safety,"""It doesn't matter if you earn 8 lakhs per annum or 80 lakhs per annum, the Indian roads won't forgive you."""
1068,The judge who gave a punishment of writing  an essay should be given Bharat Ratna,4,llama3:70b,Anger or Outrage,The judge who gave a punishment of writing an essay should be awarded the Bharat Ratna.
2213,"Kon kon Dhruv Rathee Ke Pahle Song Ka intezar Kar Raha Hai :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:

Or Teaser Kis Kis Ne Dekh liya",5,llama3:70b,Irrelevant/General Comments,"""Who's waiting for Dhruv Rathee's next song :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:. Or has everyone already seen the teaser"""
298,Both of them were not wearing helmets. Helmets may have saved their lives. Please wear helmet while driving. Because nobody know when this types of reckless drivers strike from behind.,1,llama3:70b,Public Safety,"""They were not wearing helmets, and it's possible that helmets could have saved their lives. Please wear a helmet while driving; you never know when someone like this will come crashing from behind."""
426,He is lucky that it didn't happen in Bihar,4,llama3:70b,Anger or Outrage,"""He's fortunate it didn't occur in Bihar"""
692,"So much public money wasting on just making sure he is in jail:crying_face:
Law itna weak h hamara:crying_face:",0,llama3:70b,Judicial Accountability and Policy Demands,"""Our public money is being wasted just to keep him in jail. Our law is so weak."""
422,"Police tried to kill evidence by threatening witnesses & relatives. Delayed blood test , fed accused pizza so alcohol doesn't show in report. First FIR  weak to get bail. 2nd FIR filed after bail. Hear Manshinde on how police sabotaged the case https://www.youtube.com/watch?v=MBjMF2Q-MVQ",4,llama3:70b,Anger or Outrage,"""Police tried to destroy evidence by intimidating witnesses and their families. They delayed the blood test, even fed the accused pizza to conceal alcohol consumption. The initial FIR was weak, making it easy to get bail. A second FIR was filed only after the accused had secured bail. Watch Manshinde's explanation on how the police sabotaged the case https://www.youtube.com/watch?v=MBjMF2Q-MVQ"""
1153,Subh subh video dikhao :face_with_tears_of_joy::face_with_tears_of_joy:,5,llama3:70b,Irrelevant/General Comments,"""What's with all these videos at 6 am? :face_with_tears_of_joy::face_with_tears_of_joy:"""
2817,Saja sirf garibo ke liye h :crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,It's only for the poor :crying_face::crying_face:
2198,Very nice analysis. I agreed about the situation of road safety in India.,1,llama3:70b,Public Safety,"""Very nice analysis. I agree with the situation of road safety in India."""
2829,Justice delayed justice denied.,4,llama3:70b,Anger or Outrage,"""Justice delayed is justice denied."""
1462,And then they tell us law is same for everyone :grinning_face_with_sweat::grinning_face_with_sweat:,0,llama3:70b,Judicial Accountability and Policy Demands,"""They're saying the law is the same for everyone, and then :grinning_face_with_sweat::grinning_face_with_sweat:"""
157,Same case was happened in jaipur a stdudent was died in road accident and news disappeared from all News paper social media platforms....,6,llama3:70b,Views on Similar Cases in the Past,"""The same thing happened in Jaipur, a student died in a road accident, and the news just vanished from all newspapers and social media platforms..."""
1621,"Grandfather of Pune accident accused paid Chhota Rajan to kill corporator: Charge sheet


This is an article from Hindustan Times.

Human character begins at home.",6,llama3:70b,Views on Similar Cases in the Past,"""Grandfather of Pune accident accused paid Chhota Rajan to kill corporator: Charge sheet 

This is an article from Hindustan Times.

You reap what you sow."""
571,This is common for rich people. They have money power.,2,llama3:70b,Socioeconomic Privilege,"""It's a common scenario for the affluent. They have the power that comes with wealth."""
2891,India isn't safe for teenagers like us cuz rich people are getting way too many perks,2,llama3:70b,Socioeconomic Privilege,"""India isn't safe for teenagers like us because the rich are getting too many benefits."""
1979,Law only applies to middle and poor class people,2,llama3:70b,Socioeconomic Privilege,"""Law only applies to middle and poor class people :expressionless face"""
1369,who was the justice that give him this strict punishment ? his/her name should be out and give a perfect punishment for not taking the right step ......,0,llama3:70b,Judicial Accountability and Policy Demands,"""Who was the judge who handed down this harsh punishment? His/her name should be exposed and they should face severe consequences for their failure to take the correct action ......"""
1766,Sir i totally Agree with all your points but grandfather and underworld connection was a little unnessory and sort of a character assassination ( deserved but not here ) chor ka beta chor wala concept might be a little out of line. only that part was problematic to me but all the other points are definitely valid and thanks for this unfiltered news. huge respect for you sir.,6,llama3:70b,Views on Similar Cases in the Past,"""I completely agree with everything you've said, but I felt the mention of the grandfather and underworld connection was unnecessary and it felt like character assassination, even though it was deserved in another context. The 'chor ka beta chor wala' concept also seemed out of place. That was the only part I had an issue with, but the rest of your points are absolutely valid and I appreciate the unfiltered news. I have a lot of respect for you."""
2092,No value of human life in  new India. This country is only for rich.,2,llama3:70b,Socioeconomic Privilege,"""No value is given to human life in this new India. It's a country only for the wealthy."""
294,The whole Pune accident running on new channels 24/7 is to distract people from the real issue. That BJP rapist who ran to Germany after molesting/raping 240 women.,0,llama3:70b,Judicial Accountability and Policy Demands,"""Channels are showing the Pune accident 24/7 to divert attention from the real issue. That BJP politician who raped 240 women and fled to Germany."""
3124,You're not driving on Indian roads... you're surviving.,1,llama3:70b,Public Safety,"""You're not driving on Indian roads, you're just managing to stay alive."""
2960,You should have given the example of Aston Martin case on the Mumbai-Worli sea link also.,6,llama3:70b,Views on Similar Cases in the Past,"""You should have used the Aston Martin case as an example while discussing the Mumbai-Worli sea link as well."""
1184,News is getting so much high stream that people forget 14-15 died in Ghatkopar (Mumbai) Banner crash case....,5,llama3:70b,Irrelevant/General Comments,"""People are getting so distracted by the news that they're forgetting about the 14-15 people who lost their lives in the Ghatkopar (Mumbai) Banner crash case...."""
2878,"India is a democratic nation , 
not a judicial dictatorship.  

Justice for sale :clapping_hands::clapping_hands::clapping_hands::clapping_hands:",1,llama3:70b,Public Safety,"""India is a democratic nation, not a judicial dictatorship.

Justice is being sold out :clapping_hands::clapping_hands::clapping_hands::clapping_hands:"""
706,We have to down rich people Curuption using social media give some time of life to this.,2,llama3:70b,Socioeconomic Privilege,"""We need to bring down the corrupt rich using social media; give them a taste of their own medicine for once."""
1505,"Why showing witness person like this in channels. Is not dangerous or wrong to show like this. Why can't channels, show the culprits like this then. Eye witness guy great abd courageous and innocent",5,llama3:70b,Irrelevant/General Comments,"""They're showing the witness person like this on the channels. It's not wrong or dangerous to show him like this. Why can't the channels show the culprits in the same way then? The eyewitness is a great, courageous, and innocent person :expressionless face"""
299,Hats off to the reporter. :crying_face:. True journalism:crying_face:. Breaks my heart,5,llama3:70b,Irrelevant/General Comments,"""Hats off to the reporter :crying_face:. True journalism :crying_face:. It breaks my heart"""
2332,5+ years imprisonment and 12 lack per year to the families who lost there child.,0,llama3:70b,Judicial Accountability and Policy Demands,"""5+ years' imprisonment and ₹12 lakh per year to the families who lost their child."""
313,Thank you for giving this case the attention it needs. I hope the victims and their family gets justice.,3,llama3:70b,Victim Sympathy,This comment is already in English and does not require translation.
1195,"Kuchh nhi hoga 
Uska baap bori bharbharkar judge police news wale sabko paisa dekar chup kara dega 
Kyuki wo ......... h :face_with_tears_of_joy::rolling_on_the_floor_laughing:",2,llama3:70b,Socioeconomic Privilege,"""Nothing will happen
His father will silence all the judges, police, and news people by paying them off
Because he is a judge's son :face_with_tears_of_joy::rolling_on_the_floor_laughing:"""
801,judiciary is shameful,2,llama3:70b,Socioeconomic Privilege,The judiciary is a shame.
1597,Two talented person....:crying_face::crying_face:,3,llama3:70b,Victim Sympathy,These two judges are extremely biased and incompetent.
1024,"I stay in Pune, I have seen people harsh driving. In Pune 2 Wheeler and 4 wheeler don't stop on Red signal. I think this failure of Traffic management authorities. 
I live in Hinjewadi area, a prominent IT crowd area, I have seen youngsters coming out of Pubs and bars under alchohol influence. The authorities need to monitor this and introduce alchohol testing for people driving post late night hours.",6,llama3:70b,Views on Similar Cases in the Past,"""I stay in Pune, I've seen people driving recklessly. In Pune, both two-wheelers and four-wheelers don't stop at red lights. I think this is a failure on the part of the traffic management authorities. 
I live in the Hinjewadi area, a major hub for the IT industry, I've seen youngsters coming out of pubs and bars under the influence of alcohol. The authorities need to keep a closer eye on this and introduce alcohol testing for people driving after late-night hours."""
312,Indian judicial system is a joke,0,llama3:70b,Judicial Accountability and Policy Demands,The Indian judicial system is a complete mockery.
2001,We want justice bhaiya.. Please help us :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,5,llama3:70b,Irrelevant/General Comments,"""We want justice, brother. Please help us. :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:"""
948,Hats off to Akash ji,5,llama3:70b,Irrelevant/General Comments,"""Hats off to Akash ji"""
2704,The Police charge   fine  for Helmet.,6,llama3:70b,Views on Similar Cases in the Past,"""The Police are fining people for not wearing helmets."""
2219,We want justice,3,llama3:70b,Victim Sympathy,"""We demand justice."""
2612,"Under 18 

Illegal to drive
Illegal to drink 

And drink and drive to illegal hai hi 
Phir bhi :pensive_face:",0,llama3:70b,Judicial Accountability and Policy Demands,"""Under 18, you're not allowed to drive, and you're not allowed to drink. Yet, people still drink and drive - it's completely illegal. :pensive_face:"""
1938,Garib hone ka dukh he hame:crying_face::crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""Our poverty is our biggest sorrow :expressionless face::expressionless face::expressionless face::expressionless face:"""
373,This case will also jus like any other case in favour of rich people.. Superb Arnab app ka debate sahi raste pe sahi samay pe prasan..,4,llama3:70b,Anger or Outrage,"""This case will also be just like any other case favoring the rich people... Superb Arnab app's debate is on the right track at the right time."""
3119,He is on a mission to break India. Dangerously dumb!!,3,llama3:70b,Victim Sympathy,He's on a mission to dismantle the country. Extremely foolish!!
1572,There shud be a public outcry. If he gets away scot free then shame on punekars.,4,llama3:70b,Anger or Outrage,"""There should be a public outcry. If he gets away without any consequences, then it's a shame on the people of Pune."""
1410,Indian judiciary system:face_with_tears_of_joy:,0,llama3:70b,Judicial Accountability and Policy Demands,The Indian judiciary system is a joke.
1173,What about how your family covered up Bhopal gas tragedy?,6,llama3:70b,Views on Similar Cases in the Past,"""What about how your family covered up Bhopal gas tragedy?"""
94,In the same area my office (BNY MELLON)colleague (in caB) was hit by another car and she was admitted to hospital.,6,llama3:70b,Views on Similar Cases in the Past,My colleague from BNY Mellon who was in a cab was hit by another car and had to be taken to the hospital in the same area.
2416,"Monkey is everything sir, Look it the judge condition on accused, its Joke sir , Judge is only accused on this case",2,llama3:70b,Socioeconomic Privilege,"""The judge is a complete joke, sir. Look at the condition of the accused in the courtroom, it's a farce. The judge is only accusing the accused in this case."""
707,"Atankwadi ka sath deta hai ye, :crying_face::crying_face:",5,llama3:70b,Irrelevant/General Comments,"This terrorist supporter is with them, :crying_face::crying_face:."
295,Justice for neet aspirants plz :red_heart:,5,llama3:70b,Irrelevant/General Comments,"""Justice for NEET aspirants, please :red_heart:"""
3006,Justice for neet aspirants,5,llama3:70b,Irrelevant/General Comments,Justice for NEET aspirants.
180,Saza milna chaiyeh uneh .:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,4,llama3:70b,Anger or Outrage,"""They should be punished severely.:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:"""
1991,Kindly get the dashcam footage from the porsche,5,llama3:70b,Irrelevant/General Comments,"""Can we get the dashcam footage from the Porsche?"""
2628,In this Amrith kal Barath only Rich and famous have righs to live not poor and common citizens.:face_with_raised_eyebrow::thinking_face:,2,llama3:70b,Socioeconomic Privilege,"""In this so-called Amrith kal Bharat, only the rich and famous have the right to live, not the poor and common citizens."""
2865,California LA Fire case study Druve bhai,5,llama3:70b,Irrelevant/General Comments,"""We need to study the California LA Fire case, just like Druve bhai has done."""
222,This happens so much in tier 2-3 cities about which you will never know or hear.,6,llama3:70b,Views on Similar Cases in the Past,"""This keeps happening in tier 2-3 cities, but you'll never find out or hear about it."""
507,"I dont blame the police the blame the judiciary system. How is essay writing on accident going to help him in changing his mind and grow up, the essay is already done written even before the order. In this kind of case the decease family according to me have to have a majority of say, if they forgive they still need to pay them for lives taken if they doesnt forgive what do they want it to be done let it be done so that every rich and wealthy person learnt that every citizens is infact equal before the law and can change their course of life.",0,llama3:70b,Judicial Accountability and Policy Demands,"""I don't blame the police, I blame the judiciary system. How can writing an essay about an accident help someone change their mind and mature, when the essay has already been written and submitted before the order was even given? In this kind of case, the deceased family should have the final say - if they forgive, they should still be compensated for the lives lost; if they don't forgive, let the law take its course, so that every rich and wealthy person understands that every citizen is equal before the law and can change their circumstances."""
588,The LAW should not bend for the rich and famous people.,1,llama3:70b,Public Safety,"""The law should not be twisted in favor of the wealthy and influential."""
2780,JUSTICE FOR ANEESH AND ASHWINI @dhruvrathee,3,llama3:70b,Victim Sympathy,"""Justice for Aneesh and Ashwini @dhruvrathee"""
1325,Good one,5,llama3:70b,Irrelevant/General Comments,"""Good one"""
2262,I think when he was young he was arrested  carrying cocaine. But when the government passes the bill for hit and run they are the same who opposed it.,5,llama3:70b,Irrelevant/General Comments,"""They think he was arrested for carrying cocaine when he was young, but now when the government brings a bill for hit and run cases, they are the same people who opposed it."""
1083,Similar case was happened in Gujarat also the accuse was Tirth Patel who killed approx 17 people,6,llama3:70b,Views on Similar Cases in the Past,"""A similar case happened in Gujarat as well; the accused was Tirth Patel, who killed approximately 17 people."""
945,I wish same action should have taken in lakhimpur Kheri case.,6,llama3:70b,Views on Similar Cases in the Past,I wish the same action should have been taken in the Lakhimpur Kheri case.
903,"Power :flexed_biceps: of MONEY:money_with_wings::money_with_wings:. 
Paisa :money_with_wings: hai to justice:balance_scale: hai . 
Paisa :money_bag: hai to knowledge:books: hai. 
Paisa hai to kuch v mumkin hai. 
Am i right.................",2,llama3:70b,Socioeconomic Privilege,"""Money :money_with_wings::money_with_wings: is the power :flexed_biceps:. 
Where there's money :money_with_wings:, there's justice :balance_scale:. 
Where there's money :money_bag:, there's knowledge :books:. 
Where there's money, anything is possible. 
Am I right?"""
2374,Law is for poor and innocents in india,2,llama3:70b,Socioeconomic Privilege,"""Law is only for the poor and innocents in India :expressionless face"""
2204,"Roads accidents has become very common in Pune,if you slum areas in areas in Pune kids at the age of 12 year old riding motorcycles in the road. Also there have increased in crimes by juvenile kids mostly by slum kids especially from khadki,pcmc, kondhwa etc",6,llama3:70b,Views on Similar Cases in the Past,"""Road accidents have become very common in Pune. There, in slum areas of Pune, kids as young as 12 years old are riding motorcycles on the road. Also, there's been an increase in crimes committed by juvenile kids, mostly by slum kids from areas like Khadki, Pimpri-Chinchwad Municipal Corporation (PCMC), and Kondhwa etc :expressionless face"""
3096,His father has brought the judge and the cops. Case closed. Money in India can do anything. I Love my India.,2,llama3:70b,Socioeconomic Privilege,"""His father has connections with the judge and the police, that's why the case is closed. In India, money can get you anything. I love my India."""
2758,Use parents ko 7 year ka punishment milne chiyea,0,llama3:70b,Judicial Accountability and Policy Demands,"""Parents should get 7 years of punishment"""
1339,Make video abour Atul case as well and state of laws India that are totally boased against men,1,llama3:70b,Public Safety,"""Make a video about the Atul case as well and the state of laws in India that are completely biased against men."""
2026,"well said buddy that's exactly who we are, perhaps you should know that, here in the USA we also had one incident just like that and law let that boy go, just search the internet you will find out the whole story.",5,llama3:70b,Irrelevant/General Comments,"""Well said, buddy, that's exactly who we are. Perhaps you should know that here in the USA, we too had a similar incident, and the law let that boy off, you can just search the internet and find out the whole story."""
1082,Indian constitution is shit. Shame on this.,0,llama3:70b,Judicial Accountability and Policy Demands,"""This Indian constitution is a complete failure. I am deeply ashamed of it."""
